Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(48)
3.830871017465066e-05,0.041168933244172715,1.0939402651334667e-07,3.2646020833157566e-06,1.1947035107229672e-06,2.5493105240976754e-19,2.847358487684216e-06,7.555136188844024e-27,4.296519415115648e-14,3.5388718563213795e-17,0.938,9.142331432112737e-06,0.015872412819753632,0.0004614149384833454,3.3338083168337293e-09,2.0514284204426242e-05,0.0,0.0,0.009473277916748964,0.0017053553996916927,0.05070653601119222,2.839492838964469e-10,8.299247709038234e-17,0.0015055538785163237,8.362232621343481e-13,8.199308755430908e-13
3.839713652194959e-05,0.041168933244172715,1.0894790623351157e-07,3.2752653368166586e-06,1.194071428336375e-06,2.585868933457952e-19,2.8463680219476324e-06,7.623125864817785e-27,4.3309084577410426e-14,3.553313449813854e-17,0.938,9.202319353093445e-06,0.01587582010009857,0.00046363538722033685,3.337276516511252e-09,2.0470843948837846e-05,0.0,0.0,0.00946762504193761,0.001701905963791912,0.05070996824332687,2.877172764175867e-10,8.3919054592189e-17,0.0015033066573986046,8.487215763775477e-13,8.303247238070832e-13
3.848556286924851e-05,0.041168933244172715,1.0850434318528135e-07,3.2859172572956886e-06,1.1934422084363478e-06,2.6228089345646225e-19,2.845370676955707e-06,7.691411479272584e-27,4.365409315986187e-14,3.567750742033785e-17,0.938,9.262428049825337e-06,0.015879202706539624,0.0004658573242214781,3.340714016005494e-09,2.0427470090873515e-05,0.0,0.0,0.009461995178415778,0.0016984676009364906,0.05071340287966899,2.915215522042662e-10,8.485242626217074e-17,0.001501057769546119,8.613580486263102e-13,8.408124566308741e-13
3.857398921654744e-05,0.041168933244172715,1.0806331660750638e-07,3.2965576625536164e-06,1.1928158339350966e-06,2.660132744652982e-19,2.8443665154166805e-06,7.759991761363642e-27,4.4000211772553524e-14,3.582183446016062e-17,0.938,9.322656303840504e-06,0.015882560799067833,0.0004680807223175806,3.344120893103744e-09,2.0384162550758295e-05,0.0,0.0,0.009456388194817119,0.001695040253141534,0.05071683987743083,2.95362309403205e-10,8.579260798068562e-17,0.0014988072436288597,8.741335741291323e-13,8.513945281509806e-13
3.8662415563846365e-05,0.041168933244172715,1.0762480595815255e-07,3.307186370858039e-06,1.1921922878639781e-06,2.6978425775640045e-19,2.84335559933614e-06,7.828865425608576e-27,4.434743224585823e-14,3.596611275434942e-17,0.938,9.383002896145873e-06,0.015885894536636923,0.00047030555444991384,3.3474972258432195e-09,2.0340921249573648e-05,0.0,0.0,0.00945080396070171,0.0016916238628591515,0.05072027919399032,2.992397460597541e-10,8.673961542821984e-17,0.0014965551082053443,8.870490477445048e-13,8.620713918547258e-13
3.875084191114529e-05,0.041168933244172715,1.0718879091222534e-07,3.317803200956704e-06,1.1915715533724796e-06,2.73594064362689e-19,2.8423379900289734e-06,7.898031172039435e-27,4.469574636730893e-14,3.61103394407445e-17,0.938,9.44346660729652e-06,0.015889204077171655,0.0004725317936701647,3.3508430925053732e-09,2.0297746109240243e-05,0.0,0.0,0.009445242346547669,0.001688218372973224,0.05072372078689116,3.0315406011142275e-10,8.769346408477883e-17,0.0014943013917225888,9.001053638920401e-13,8.728435005663052e-13
3.883926825844422e-05,0.041168933244172715,1.067552513589495e-07,3.328407972106661e-06,1.1909536137283504e-06,2.774429149503585e-19,2.8413137481333163e-06,7.967487686356668e-27,4.504514588233726e-14,3.625451166236587e-17,0.938,9.50404621746604e-06,0.01589248957757584,0.0004747594131403729,3.354158571609679e-09,2.0254637052499307e-05,0.0,0.0,0.009439703223743098,0.0016848237267953398,0.05072716461384284,3.0710544938149926e-10,8.8654169229339e-17,0.0014920461225160944,9.13303416503881e-13,8.837113064330704e-13
3.8927694605743144e-05,0.041168933244172715,1.0632416739792854e-07,3.3390005040630907e-06,1.1903384523157421e-06,2.813310298082621e-19,2.840282933613054e-06,8.03723364008217e-27,4.5395622495084535e-14,3.639862657845387e-17,0.938,9.56474050651852e-06,0.01589575119374054,0.0004769883861328987,3.357443741910553e-09,2.0211594002903712e-05,0.0,0.0,0.009434186464577866,0.0016814398680606343,0.05073061063272071,3.110941115726226e-10,8.962174593926531e-17,0.0014897893288098314,9.266440989760036e-13,8.94675260911725e-13
3.900727831831218e-05,0.041168933244172715,1.0593827508480189e-07,3.3485231697379765e-06,1.189787168790473e-06,2.8486408589315384e-19,2.8393496299734264e-06,8.100251359838264e-27,4.5711965476036316e-14,3.6528278656702574e-17,0.938,9.619462408475863e-06,0.01589866635529811,0.00047899559708622206,3.360374546440141e-09,2.0172911631840125e-05,0.0,0.0,0.009429240397408814,0.0016784035722985603,0.05073371388912529,3.1471593919113423e-10,9.049845246515074e-17,0.0014877569342641207,9.387733996529371e-13,9.046253995674378e-13
3.908686203088121e-05,0.041168933244172715,1.055543416362937e-07,3.3580356453909924e-06,1.1892381103148817e-06,2.884292841974939e-19,2.8384110933190914e-06,8.163501449971827e-27,4.602916804973004e-14,3.6657879938765437e-17,0.938,9.674275322056765e-06,0.015901562408313606,0.0004810038635033892,3.3632809225475582e-09,2.0134282610671123e-05,0.0,0.0,0.009424312250219943,0.0016753759287021631,0.05073681885652823,3.1836826185425036e-10,9.138074771424476e-17,0.0014857233480628244,9.510196041249636e-13,9.146541118196521e-13
