Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.32466200774202e-05,0.05954180215024143,1.4507857062061395e-08,5.691076803570353e-07,5.883513131928472e-07,1.0804194423829664e-15,2.3995286659524e-06,6.600596854707598e-17,1.3746627145521713e-10,3.017294925878404e-14,0.938,4.5092106573551384e-05,0.01579253194426012,0.0010833862359649828,1.8481921776142322e-08,1.9676695234851307e-07,0.0,0.0,0.02045312427031052,0.0012277743651010588,0.051706206408258334,4.89043509201744e-06,1.819720457336365e-09,0.0008609346819957687,1.1882786382897005e-08
2.3286437492606467e-05,0.05954180215024143,1.4449318486780292e-08,5.690661397431383e-07,5.882496983857658e-07,1.0878903677247517e-15,2.396657880479993e-06,6.620217200733685e-17,1.3782026315356295e-10,3.018304923392559e-14,0.938,4.519097383460377e-05,0.015795281692557603,0.001085317981428934,1.846637211456185e-08,1.9624065338728033e-07,0.0,0.0,0.020448347523262106,0.0012247769276927728,0.05170935269150353,4.923309594127734e-06,1.8272271710785148e-09,0.0008588387688587697,1.1967748980244466e-08
2.3326254907792733e-05,0.05954180215024143,1.4391098258753851e-08,5.690221338586155e-07,5.881484197604261e-07,1.0953888835805624e-15,2.3937908400296124e-06,6.639815813957247e-17,1.3817370521501116e-10,3.0192980762845095e-14,0.938,4.528964208981632e-05,0.01579802133324744,0.0010872449505930396,1.8450812615477553e-08,1.9571581896096053e-07,0.0,0.0,0.020443585855738602,0.0012217882008568497,0.05171249185955492,4.9563011855206185e-06,1.8347367953334298e-09,0.0008567475968601096,1.2053045982072437e-08
2.3366072322979e-05,0.05954180215024143,1.4333194078402892e-08,5.689756766169098e-07,5.880474757786377e-07,1.1029149719154244e-15,2.3909275502564554e-06,6.659392589666533e-17,1.385265966630121e-10,3.0202744578319235e-14,0.938,4.53881113531477e-05,0.015800750921533865,0.0010891671504797311,1.8435243539297577e-08,1.951924449805299e-07,0.0,0.0,0.020438839205487495,0.0012188081518256138,0.051715623922731165,4.989409783920501e-06,1.8422492512439716e-09,0.0008546611591207376,1.2138677271787265e-08
2.3405889738165265e-05,0.05954180215024143,1.4275603667031315e-08,5.689267818734933e-07,5.879468649119863e-07,1.1104686144096726e-15,2.3880680166554803e-06,6.678947424313447e-17,1.3887893653927592e-10,3.021234141130192e-14,0.938,4.5486381642385335e-05,0.015803470512233398,0.001091084588145615,1.8419665143931403e-08,1.9467052736511807e-07,0.0,0.0,0.020434107510606103,0.001215836747996483,0.05171874889140455,5.022635305939986e-06,1.849764460269072e-09,0.000852579448725859,1.2224642728910883e-08
2.344570715335153e-05,0.05954180215024143,1.421832476659805e-08,5.6887546342595e-07,5.878465856417579e-07,1.118049792461193e-15,2.385212244564978e-06,6.698480215505287e-17,1.3923072390360187e-10,3.022177199092161e-14,0.938,4.5584452979101524e-05,0.01580618015977813,0.0010929972706808205,1.840407768482035e-08,1.9415006204205592e-07,0.0,0.0,0.02042939070953914,0.0012128739569308795,0.05172186677600006,5.055977667088788e-06,1.8572823441838606e-09,0.0008505024587256141,1.231094222910615e-08
2.3485524568537797e-05,0.05954180215024143,1.4161355139493015e-08,5.688217350139126e-07,5.877466364588582e-07,1.1256584871876459e-15,2.3823602391675725e-06,6.717990861996485e-17,1.3958195783372468e-10,3.0231037044450795e-14,0.938,4.5682325388610025e-05,0.01580887991821884,0.0010949052052083572,1.8388481414953004e-08,1.9363104494691933e-07,0.0,0.0,0.020424688741076117,0.0012099197463531597,0.051724977586994354,5.089436781782581e-06,1.8648028250797783e-09,0.0008484301821357461,1.2397575644202131e-08
2.3525341983724063e-05,0.05954180215024143,1.4104692568316982e-08,5.687656103192968e-07,5.876470158637365e-07,1.1332946794286912e-15,2.379512005492052e-06,6.73747926368039e-17,1.3993263742516382e-10,3.024013729731353e-14,0.938,4.57799988999234e-05,0.015811569841228224,0.0010968083988834776,1.8372876584888094e-08,1.9311347202357354e-07,0.0,0.0,0.020420001544348892,0.001206974084149549,0.05172808133491473,5.1230125633518285e-06,1.872325825364674e-09,0.0008463626119382625,1.248454284221927e-08
2.356515939891033e-05,0.05954180215024143,1.4048334855662145e-08,5.687071029666325e-07,5.875477223663082e-07,1.140958349748189e-15,2.3766675484163676e-06,6.756945321581163e-17,1.4028276179106298e-10,3.024907347308443e-14,0.938,4.5877473545710865e-05,0.015814249982104008,0.001098706858893051,1.835726344278378e-08,1.9259733922421544e-07,0.0,0.0,0.020415329058829184,0.0012040369383670816,0.051731178030338186,5.156704924050562e-06,1.8798512677628805e-09,0.0008442997410820873,1.2571843687394523e-08
2.3604976814096596e-05,0.05954180215024143,1.3992279823896085e-08,5.686462265231985e-07,5.874487544858797e-07,1.1486494784364078e-15,2.373826872669761e-06,6.77638893784574e-17,1.4063233006202533e-10,3.025784629348137e-14,0.938,4.597474936225628e-05,0.015816920393772044,0.0011006005924549414,1.8341642234420466e-08,1.9208264250941582e-07,0.0,0.0,0.02041067122432615,0.0012011082772125526,0.051734267683890445,5.190513775065124e-06,1.887379075315284e-09,0.0008422415624837069,1.265947804020641e-08
