Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
9.808258454710064e-09,0.048764219312884285,1.4399545051317363e-06,3.6996843044067015e-11,1.7232864980582124e-06,1.1589462381141043e-50,1.6140120249873737e-06,0.938,2.3271574392793936e-23,0.0006985014110364763,6.084954752921574e-13,1.181047257795118e-10,7.277196648007911e-06,0.0,0.0,0.029901637311414393,0.009650792760380743,0.04999818966359931,4.7350211288746026e-30,3.799210626266431e-35,0.0019912828112415215,2.849213701064955e-44,1.5354976042194268e-33
9.856204593948947e-09,0.048764219312884285,1.4419107257922278e-06,3.7363606198374786e-11,1.7230974033576652e-06,1.2263482189483382e-50,1.6167689179651783e-06,0.938,2.3998309287120708e-23,0.0007017784938174092,6.211050455566385e-13,1.1853325395767305e-10,7.276397560277293e-06,0.0,0.0,0.029898356502894345,0.009649154418858386,0.04999818945252926,4.961880669321671e-30,3.939029981237017e-35,0.0019912816537292185,3.015906670294312e-44,1.6172113431283116e-33
9.90415073318783e-09,0.048764219312884285,1.443836299185294e-06,3.7731209446720895e-11,1.7229083857034324e-06,1.2962155027365624e-50,1.6194946756882805e-06,0.938,2.4743529432866595e-23,0.0007050543013896719,6.338983091505764e-13,1.1896189445610112e-10,7.2755988443042685e-06,0.0,0.0,0.02989507703091556,0.00964751671481778,0.04999818924162723,5.1982102213928885e-30,4.083203295296465e-35,0.0019912805264914028,3.1913414513212493e-44,1.702773938241989e-33
9.952096872426713e-09,0.048764219312884285,1.4457315563591334e-06,3.809963667950874e-11,1.7227194450092972e-06,1.3694972293260194e-50,1.6221896296229973e-06,0.938,2.5507593992299385e-23,0.0007083288345852901,6.468766802747245e-13,1.193906432898946e-10,7.2748005007476784e-06,0.0,0.0,0.029891798893982933,0.009645879647843024,0.04999818903089306,5.444345134242321e-30,4.2318409883399564e-35,0.0019912794291963797,3.3759227537490734e-44,1.7923426498801654e-33
9.999999999999999e-09,0.048764219312884285,1.447595166113144e-06,3.8468540308233004e-11,1.722530750581457e-06,1.4478411070472235e-50,1.6248517322494327e-06,0.938,2.629015541979567e-23,0.0007115991584203417,6.600296767468525e-13,1.1981911180090526e-10,7.274003245789865e-06,0.0,0.0,0.02988852502957436,0.009644244685247284,0.049998188820515446,5.700395857258643e-30,4.3849160874088146e-35,0.001991278362459527,3.569892898370549e-44,1.8859941422317487e-33
1.0000043011665597e-08,0.048764219312884285,1.4475968260739706e-06,3.846887190020559e-11,1.7225305811893628e-06,1.4479140944470644e-50,1.6248541089494164e-06,0.938,2.6290866798167265e-23,0.0007116020942353942,6.600415707537515e-13,1.1981949656353913e-10,7.274002530111225e-06,0.0,0.0,0.029888522090606988,0.009644243217518672,0.049998188820326625,5.7006304204372415e-30,4.385055618847828e-35,0.0019912783615149013,3.5700714828439645e-44,1.8860801505620805e-33
1.004798915090448e-08,0.048764219312884285,1.4494324347834315e-06,3.883889922610094e-11,1.7223417941580578e-06,1.529130793926164e-50,1.6274884405426678e-06,0.938,2.709371637972027e-23,0.0007148740811702217,6.733943899715416e-13,1.2024845046931707e-10,7.273204932754842e-06,0.0,0.0,0.02988524661930391,0.00964260742342971,0.04999818860992779,5.967420966353285e-30,4.542961911591809e-35,0.0019912773231201683,3.774225287650317e-44,1.9841546746292987e-33
1.0095935290143363e-08,0.048764219312884285,1.4512387066171306e-06,3.920970288901051e-11,1.7221530838301412e-06,1.6138800580943796e-50,1.630092948955402e-06,0.938,2.791651598855982e-23,0.0007181447962191194,6.869365448077609e-13,1.2067750128573896e-10,7.2724077089053355e-06,0.0,0.0,0.02988197247859555,0.009640972265161588,0.04999818839969643,6.245081745484637e-30,4.705676785494649e-35,0.001991276313687839,3.988839111686556e-44,2.086740170905251e-33
1.0143881429382246e-08,0.048764219312884285,1.4530159633644415e-06,3.9581267235926834e-11,1.7219644501206973e-06,1.704861523864218e-50,1.6326679564014587e-06,0.938,2.8759643624315913e-23,0.0007214142402105458,7.006694395756753e-13,1.2110664537599679e-10,7.2716108586663364e-06,0.0,0.0,0.02987869966700944,0.009639337742300177,0.049998188189632385,6.533988034679702e-30,4.87331938164214e-35,0.0019912753328960335,4.214385766680655e-44,2.1940164584271143e-33
1.019182756862113e-08,0.048764219312884285,1.4547645244594231e-06,3.9953576729617966e-11,1.7217758929451363e-06,1.799104146329255e-50,1.635213782740692e-06,0.938,2.9623482060151504e-23,0.000724682413972072,7.145944759612094e-13,1.215358791864386e-10,7.270814382027604e-06,0.0,0.0,0.029875428183078822,0.009637703854431821,0.049998187979735514,6.834525633312377e-30,5.046011091446487e-35,0.001991274380425342,4.4513565279373543e-44,2.3061693852855567e-33
