Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36),H2(13),H2X(31),NH2(D)(23),N2O(37)
1.6247337822952427e-06,0.06438004230410234,5.013213648116503e-07,1.651481142085123e-10,4.7248043107198105e-07,2.9635506442183206e-27,8.26630610122702e-07,0.938,1.0245242721083401e-10,0.01882553677611519,2.7279577156636204e-07,1.1407067761540963e-08,2.2054805597126797e-07,0.0,0.0,0.021587329562347872,0.0005871116135043148,0.049999756006920824,9.87091306512354e-14,4.073945912763913e-15,0.0019990050458800006,4.239924395347775e-20,4.736109832317589e-18,1.2662193453917217e-08,1.5647234235036652e-11,2.1125601002138478e-11,6.265129555203256e-24
1.6285935547094558e-06,0.06438004230410234,5.013311285610903e-07,1.6518052447742547e-10,4.723600852805112e-07,2.995442911647785e-27,8.261928435745168e-07,0.938,1.0303372170127e-10,0.01883103577127611,2.735271752011127e-07,1.1407265732346317e-08,2.2049179418170896e-07,0.0,0.0,0.02158183043958548,0.0005843614549058101,0.04999975744852341,9.949618111438167e-14,4.1074251010420536e-15,0.001999004360351796,4.2866566690528283e-20,4.7839793864957025e-18,1.2662622146918192e-08,1.5643777189289953e-11,2.113289881641068e-11,6.333140401827217e-24
1.632453327123669e-06,0.06438004230410234,5.013408010247865e-07,1.652131171028469e-10,4.7224036402308387e-07,3.0275952921842554e-27,8.257575370542819e-07,0.938,1.0361673371100882e-10,0.018836506227584458,2.742586067411577e-07,1.140746186903406e-08,2.2043582396112865e-07,0.0,0.0,0.021576359852362823,0.0005816255663453259,0.049999758888278095,1.0028745192885111e-13,4.141090109114301e-15,0.0019990036745935313,4.3337795717056017e-20,4.832209885010748e-18,1.2663044055686528e-08,1.5640332183369093e-11,2.1140159533577335e-11,6.40171088279711e-24
1.636313099537882e-06,0.06438004230410234,5.01350383137371e-07,1.6524589103389818e-10,4.7212126347700745e-07,3.0600092250941287e-27,8.253246736166886e-07,0.938,1.0420146326913332e-10,0.018841948319725296,2.7499006592133433e-07,1.1407656190402786e-08,2.20380143524807e-07,0.0,0.0,0.02157091762601672,0.0005789038604760833,0.0499997603261972,1.0108295454003592e-13,4.174941452664062e-15,0.001999002988606323,4.381295311497407e-20,4.8808031177982566e-18,1.2663459229666331e-08,1.563689916012822e-11,2.1147383375250247e-11,6.470844123069592e-24
1.6401728719520952e-06,0.06438004230410234,5.013598758227602e-07,1.6527884522768076e-10,4.720027798487247e-07,3.0926861537831976e-27,8.248942364647414e-07,0.938,1.0478791040255572e-10,0.018847362221054667,2.7572155247917956e-07,1.140784871516326e-08,2.2032475110154089e-07,0.0,0.0,0.021565503587212806,0.0005761962506158485,0.04999976176229293,1.0188270039307738e-13,4.2089796471877835e-15,0.0019990023023912797,4.429206102943515e-20,4.9297608789870966e-18,1.2663867717878089e-08,1.5633478062718708e-11,2.115457056137436e-11,6.5405432566656235e-24
1.6432394219720844e-06,0.06438004230410234,5.01367354523447e-07,1.6530515481342085e-10,4.7190908307843e-07,3.1188360802026286e-27,8.245539770365187e-07,0.938,1.0525506109317119e-10,0.018851643529135032,2.763027304710008e-07,1.1408000405655585e-08,2.202809465263806e-07,0.0,0.0,0.02156122216759408,0.0005740550732787587,0.04999976290196465,1.0252112276175228e-13,4.236156186639078e-15,0.0019990017570387145,4.467553828442314e-20,4.9689183722754754e-18,1.2664187523941036e-08,1.5630768499328726e-11,2.1160254722851953e-11,6.596323996049026e-24
1.6463059719920735e-06,0.06438004230410234,5.013747778064685e-07,1.653315770142464e-10,4.718157714631994e-07,3.1451536547024873e-27,8.242152303169891e-07,0.938,1.0572329596871059e-10,0.018855907237085672,2.768839254508603e-07,1.1408150982799916e-08,2.2023732176394914e-07,0.0,0.0,0.021556958346065747,0.0005719226963826136,0.049999764040499065,1.0316223648823481e-13,4.263451252677812e-15,0.0019990012115435854,4.5061534344045144e-20,5.008307999815261e-18,1.2664503164725235e-08,1.5628066399759123e-11,2.1165915993388265e-11,6.652465499391982e-24
1.6493725220120627e-06,0.06438004230410234,5.013821461210523e-07,1.6535811131721804e-10,4.717228431392268e-07,3.1716396067009545e-27,8.238779880788825e-07,0.938,1.0619261503979155e-10,0.018860153430080573,2.774651372907037e-07,1.1408300455740806e-08,2.201938759439614e-07,0.0,0.0,0.02155271203746444,0.000569799077338353,0.04999976517790219,1.0380604731184549e-13,4.290865103567845e-15,0.001999000665906444,4.5450060399282456e-20,5.0479306670058854e-18,1.2664814664253443e-08,1.562537173589767e-11,2.1171554481073816e-11,6.708969350621316e-24
1.652132417030053e-06,0.06438004230410234,5.013887309741523e-07,1.6538208761597524e-10,4.716395338301463e-07,3.195621530496806e-27,8.235757496422573e-07,0.938,1.0661592919905483e-10,0.018863960098472785,2.7798824225684426e-07,1.1408434044700016e-08,2.2015492698678166e-07,0.0,0.0,0.02154890526330065,0.0005678952731682095,0.04999976620060264,1.0438778781460671e-13,4.315639343810983e-15,0.001999000174712048,4.5801906264895287e-20,5.0837910660357756e-18,1.2665091492778866e-08,1.5622952872811567e-11,2.1176609729473307e-11,6.760133936197708e-24
1.654616322546244e-06,0.06438004230410234,5.013946198478278e-07,1.6540374326282748e-10,4.715648185070259e-07,3.2173228194753156e-27,8.233047664276625e-07,0.938,1.0699766281422876e-10,0.018867374079408382,2.784590482388114e-07,1.1408553521594072e-08,2.2011999573457352e-07,0.0,0.0,0.02154549118577929,0.0005661878599801574,0.04999976712025725,1.0491322957433515e-13,4.3380187588087306e-15,0.0019989997325394484,4.6120334231907273e-20,5.116227992401075e-18,1.2665337801237424e-08,1.5620781009439955e-11,2.1181143813574673e-11,6.806435065197674e-24
