Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
1.5278980395960993e-05,0.05954180215024143,3.8285502578459925e-08,5.044040287239588e-07,6.185353321012516e-07,2.0447955002304514e-18,3.0191582249692326e-06,2.4868933347348395e-17,5.875509798745817e-11,0.938,2.172757067099225e-05,0.01492402221439047,0.0005965943194724204,2.076374760342804e-08,3.373175306774683e-07,0.0,0.0,0.02183103881134131,0.0020628586547381663,0.05092789296578596,6.747252487122263e-07,5.020195903195024e-10,0.0013794480493886123,2.1066930552709988e-11
1.531382767153804e-05,0.05954180215024143,3.808623306400209e-08,5.051255568540213e-07,6.183411017082184e-07,2.072553956864073e-18,3.0165614016973323e-06,2.5040396975368833e-17,5.910871945751786e-11,0.938,2.184052354149178e-05,0.014929945589254222,0.0005991325492873489,2.0761935122372015e-08,3.365272470028409e-07,0.0,0.0,0.021822467314329713,0.0020578380182055688,0.050931898101788664,6.834714370844814e-07,5.06389066670951e-10,0.0013767796370396277,2.1361316864632415e-11
1.5348674947115087e-05,0.05954180215024143,3.788844900252849e-08,5.058419645240633e-07,6.181476672760878e-07,2.100562745957559e-18,3.0139581616045702e-06,2.5212140734200117e-17,5.946260285468872e-11,0.938,2.195346084180728e-05,0.014935840616750726,0.0006016680348847053,2.0759986692702202e-08,3.3573864639294634e-07,0.0,0.0,0.021813926932181607,0.0020528335220015804,0.0509358993193908,6.922920065797622e-07,5.107760377995683e-10,0.0013741138376447753,2.1658485007451395e-11
1.5383522222692134e-05,0.05954180215024143,3.769213580794058e-08,5.065532714152672e-07,6.179550239951472e-07,2.128822758793057e-18,3.0113486371056123e-06,2.53841609887551e-17,5.981674147038704e-11,0.938,2.2066380827157e-05,0.01494170748543084,0.0006042007517853698,2.0757903636658145e-08,3.3495172866879915e-07,0.0,0.0,0.021805417502436204,0.002047845092067314,0.05093989657990755,7.011871908105562e-07,5.151804412603154e-10,0.0013714506769558626,2.1958446336554484e-11
1.541836949826918e-05,0.05954180215024143,3.749727906897196e-08,5.072594971555115e-07,6.177631670940749e-07,2.1573348806883456e-18,3.0087329588612906e-06,2.55564541204232e-17,6.01711286422739e-11,0.938,2.2179281769678623e-05,0.014947546382316731,0.000606730675868294,2.075568726450126e-08,3.341664935966305e-07,0.0,0.0,0.021796938863788064,0.002042872654820694,0.05094388984521233,7.101572216437839e-07,5.196022142789934e-10,0.0013687901803531289,2.22612121474636e-11
1.5453216773846228e-05,0.05954180215024143,3.73038645468117e-08,5.079606613185367e-07,6.175720918395805e-07,2.1860999909883175e-18,3.006111255797324e-06,2.572901652713056e-17,6.052575775413078e-11,0.938,2.2292161958312897e-05,0.01495335749291581,0.0006092577833667432,2.075333887458956e-08,3.333829408887119e-07,0.0,0.0,0.021788490856077054,0.002037916137152457,0.05094787907773082,7.192023292005598e-07,5.240412937584815e-10,0.0013661323728491276,2.2566793675610715e-11
1.5488064049423275e-05,0.05954180215024143,3.711187817297863e-08,5.086567834237616e-07,6.173817935360499e-07,2.2151189630565366e-18,3.0034836551323195e-06,2.590184462339922e-17,6.088062223572097e-11,0.938,2.2405019698686465e-05,0.014959141001234676,0.000611782050864543,2.0750859753504906e-08,3.326010702041856e-07,0.0,0.0,0.02178007332027819,0.002032975466422145,0.050951864240435164,7.283227418559718e-07,5.284976162849634e-10,0.0013634772790925922,2.2875202096114515e-11
1.552291132500032e-05,0.05954180215024143,3.692130604666495e-08,5.093478829384267e-07,6.171922675251875e-07,2.2443926642685808e-18,3.0008502824026983e-06,2.6074934840401612e-17,6.123571556264815e-11,0.938,2.2517853312995386e-05,0.014964897089792834,0.000614303455292381,2.0748251176190244e-08,3.318208811498676e-07,0.0,0.0,0.021771686098491776,0.002028050570454179,0.05095584529683828,7.375186862390931e-07,5.329711181340688e-10,0.0013608249233722568,2.3186448523568613e-11
1.555427387301966e-05,0.05954180215024143,3.675098895885769e-08,5.099655942320207e-07,6.1702235060535e-07,2.270957500832074e-18,2.99847541423929e-06,2.623093721275474e-17,6.155548986407246e-11,0.938,2.26193815646438e-05,0.014970054275264585,0.0006165702525624284,2.0745793815899364e-08,3.3112014842830673e-07,0.0,0.0,0.02176416338775951,0.0020236315922232168,0.05095942470698819,7.458598017130451e-07,5.370119052054988e-10,0.0013584401640324517,2.346900594149183e-11
1.5585636421039e-05,0.05954180215024143,3.6581796383734914e-08,5.105792670648642e-07,6.168530521552473e-07,2.2977299895865993e-18,2.9960960602134367e-06,2.638714644756784e-17,6.187543959049811e-11,0.938,2.272088772847004e-05,0.014975189528367227,0.0006188346960011961,2.074323353248417e-08,3.3042077710829134e-07,0.0,0.0,0.021756664990838146,0.0020192252814917916,0.05096300073606393,7.542624427949448e-07,5.410665087848925e-10,0.001356057659094457,2.3753879115522566e-11
